summary_file,model,run_id,paper_id,config_id,dataset_id,imbalance,synth_budget_per_class,aug_method,seed,macro_f1_real_only,macro_f1_real_plus_synth,delta_macro_f1,bal_acc_real_only,bal_acc_real_plus_synth,delta_bal_acc,macro_auprc_real_only,macro_auprc_real_plus_synth,delta_macro_auprc,kid,ms_ssim
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_094350.json,gan,gan_paper3_smoke_pc25_s0,paper3,paper3_smoke,ustc_tfc2016,,,,0,0.9437468405669536,0.9384327110800137,-0.005314129486939878,0.9439668316016405,0.9397159607424983,-0.0042508708591422195,0.9763068640585905,0.9735312859354222,-0.0027755781231683097,0.8360507059605704,0.9509078550007608
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_102647.json,gan,gan_paper3_smoke_pc25_s0,paper3,paper3_smoke,ustc_tfc2016,,,,0,0.9385374119112987,0.9370448873997415,-0.001492524511557236,0.9390671486844351,0.937933924258264,-0.0011332244261710311,0.9733524389878405,0.9741661354858456,0.000813696498005112,0.8360507059605704,0.9509078550007608
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_115320.json,gan,gan_paper3_realonly_balanced_pc25_s0,paper3,paper3_realonly_balanced,ustc_tfc2016,balanced,0,none,0,0.93764778660519,0.9361595656950897,-0.0014882209101002575,0.9379580948764897,0.9369612156832312,-0.0009968791932585264,0.9730993838114563,0.9736770287417037,0.0005776449302473674,0.8360507059605704,0.9509078550007608
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_125702.json,gan,gan_paper3_aug_balanced_b100_pc25_s0,paper3,paper3_aug_balanced_b100,ustc_tfc2016,balanced,100,per_class_equal,0,0.939582532924432,0.9365089977485351,-0.0030735351758968132,0.9402129479863167,0.9377440774068627,-0.0024688705794539967,0.97398399107023,0.9734748700040884,-0.000509121066141649,0.6447859190757356,0.995687884191672
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_150644.json,gan,gan_paper3_realonly_balanced_pc25_s0,paper3,paper3_realonly_balanced,ustc_tfc2016,balanced,0,none,0,0.9420942370942507,0.935793914044343,-0.006300323049907686,0.9421904830062565,0.9367873314365587,-0.005403151569697839,0.974352238117162,0.9712397338991074,-0.003112504218054535,0.6447859190757356,0.995687884191672
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_163401.json,gan,gan_paper3_aug_balanced_b100_pc25_s0,paper3,paper3_aug_balanced_b100,ustc_tfc2016,balanced,100,per_class_equal,0,0.9424469572701065,0.9400106204878976,-0.002436336782208892,0.9428894705203198,0.941514138913268,-0.0013753316070518329,0.9754365173737889,0.9747151351531981,-0.000721382220590816,0.703451964209776,0.995121521850427
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260427_164721.json,gan,gan_paper3_realonly_balanced_pc25_s0,paper3,paper3_realonly_balanced,ustc_tfc2016,balanced,0,none,0,0.9427159230313722,0.9377023351707834,-0.0050135878605888085,0.9431221919990036,0.9389650837675083,-0.004157108231495288,0.9764157853819406,0.9748644798826533,-0.001551305499287281,0.703451964209776,0.995121521850427
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260428_130301.json,gan,gan_paper3_realonly_balanced_pc25_s0,paper3,paper3_realonly_balanced,ustc_tfc2016,balanced,0,none,0,0.9385994378063534,0.9419251082377288,0.003325670431375438,0.9393698125163622,0.9423702786747451,0.0030004661583828973,0.9748618217617674,0.975435087235621,0.0005732654738536125,0.703451964209776,0.995121521850427
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260428_145309.json,gan,gan_paper3_realonly_balanced_pc25_s0,paper3,paper3_realonly_balanced,ustc_tfc2016,balanced,0,none,0,0.9438219834971796,,,0.9439212114266426,,,0.9753591145622775,,,,
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260428_165029.json,gan,gan_paper3_realonly_balanced_pc25_s42,paper3,paper3_realonly_balanced,ustc_tfc2016,balanced,0,none,42,0.9390443243837484,,,0.9395814123936606,,,0.974150546290417,,,,
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260429_075148.json,gan,gan_paper3_aug_balanced_b100_pc25_s42,paper3,paper3_aug_balanced_b100,ustc_tfc2016,balanced,100,per_class_equal,42,0.938339057511532,0.9429537278050483,0.004614670293516254,0.9393075683818868,0.9433408850174696,0.004033316635582818,0.9747575159213082,0.9750234021474322,0.00026588622612400137,2.396795251310151,0.9910731414622731
